Survey,Year,Quarter,Ship,AphiaID,Species,LngtClass,Sex,Maturity,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10
BTS,2003,3,ISI,127143,Pleuronectes platessa,135,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,135,M,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,137,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,137,M,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,139,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,141,F,-9,2,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,141,M,-9,2,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,143,M,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,145,M,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,148,M,-9,2,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,151,M,-9,2,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,153,F,-9,0,1,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,154,M,-9,0,1,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,155,F,-9,0,0,1,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,156,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,156,M,-9,0,1,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,157,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,160,M,-9,0,1,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,162,F,-9,0,3,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,162,M,-9,0,1,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,164,M,-9,0,1,0,0,0,0,0,0,0,0,0
